State,Five-Year Age Groups,Deaths,Population,Crude Rate
New Mexico,55+,29044,Not Applicable,Not Applicable
New Mexico,55+,11451,Not Applicable,Not Applicable
New Mexico,55+,2295,Not Applicable,Not Applicable
New Mexico,N/A,81,Not Applicable,Not Applicable
New York,0-24,26390,4794836,550.38
New York,0-24,4184,18836566,22.21
New York,0-24,2705,23886054,11.32
New York,0-24,3328,24974081,13.33
New York,0-24,10354,26179004,39.55
New York,0-24,18683,27054715,69.06
New York,25-34,21020,27589652,76.19
New York,25-34,24679,26950942,91.57
New York,35-44,34283,27072861,126.63
New York,35-44,51988,27675087,187.85
New York,45-54,80160,27820257,288.14
New York,45-54,116706,26871670,434.31
New York,55+,152953,23945513,638.75
New York,55+,188272,19827499,949.55
New York,55+,225812,15786802,1430.38
New York,55+,281441,12566437,2239.62
New York,55+,360193,10072864,3575.87
New York,55+,442153,7576670,5835.72
New York,55+,468762,Not Applicable,Not Applicable
New York,55+,353222,Not Applicable,Not Applicable
New York,55+,151187,Not Applicable,Not Applicable
New York,55+,35276,Not Applicable,Not Applicable
New York,N/A,368,Not Applicable,Not Applicable
North Carolina,0-24,19074,2399639,794.87
North Carolina,0-24,2775,9558486,29.03
North Carolina,0-24,1754,12095298,14.5
North Carolina,0-24,2172,12352343,17.58
North Carolina,0-24,7664,12530637,61.16
North Carolina,0-24,12956,12919089,100.29
North Carolina,25-34,13923,12449452,111.84
North Carolina,25-34,16130,12572726,128.29
North Carolina,35-44,21797,12927539,168.61
North Carolina,35-44,31868,13219669,241.07
North Carolina,45-54,47984,13139077,365.2
North Carolina,45-54,69637,12559339,554.46
North Carolina,55+,91659,11381088,805.36
North Carolina,55+,113754,9715505,1170.85
North Carolina,55+,137424,7973719,1723.46
North Carolina,55+,163489,6160601,2653.78
North Carolina,55+,193811,4607790,4206.16
North Carolina,55+,219497,3199614,6860.11
North Carolina,55+,210571,Not Applicable,Not Applicable
North Carolina,55+,142551,Not Applicable,Not Applicable
North Carolina,55+,54111,Not Applicable,Not Applicable
North Carolina,55+,11311,Not Applicable,Not Applicable
North Carolina,N/A,143,Not Applicable,Not Applicable
North Dakota,0-24,1175,180960,649.31
North Dakota,0-24,173,708208,24.43
North Dakota,0-24,119,859584,13.84
North Dakota,0-24,153,869901,17.59
North Dakota,0-24,648,1004540,64.51
North Dakota,0-24,939,1221821,76.85
North Dakota,25-34,924,933483,98.98
North Dakota,25-34,998,867110,115.09
North Dakota,35-44,1191,830523,143.4
North Dakota,35-44,1723,859366,200.5
North Dakota,45-54,2605,909536,286.41
North Dakota,45-54,3734,914786,408.18
North Dakota,55+,5040,831424,606.19
North Dakota,55+,6418,683953,938.37
North Dakota,55+,7946,543462,1462.11
North Dakota,55+,10081,444242,2269.26
North Dakota,55+,13394,374005,3581.24
North Dakota,55+,17637,299948,5880.02
North Dakota,55+,19810,Not Applicable,Not Applicable
North Dakota,55+,16191,Not Applicable,Not Applicable
North Dakota,55+,7622,Not Applicable,Not Applicable
North Dakota,55+,1715,Not Applicable,Not Applicable
Ohio,0-24,22006,2847963,772.69
Ohio,0-24,3415,11573377,29.51
Ohio,0-24,1956,15059485,12.99
Ohio,0-24,2525,15785214,16
Ohio,0-24,8631,16116811,53.55
Ohio,0-24,14190,15320314,92.62
Ohio,25-34,16346,14753293,110.8
Ohio,25-34,19887,14497084,137.18
Ohio,35-44,25790,15124005,170.52
Ohio,35-44,38997,16021946,243.4
Ohio,45-54,60379,16605216,363.61
Ohio,45-54,89276,16336678,546.48
Ohio,55+,118324,14767603,801.24
Ohio,55+,146414,12320189,1188.41
Ohio,55+,175938,9838208,1788.31
Ohio,55+,218455,7853848,2781.5
Ohio,55+,277004,6331388,4375.09
Ohio,55+,330327,4691440,7041.06
Ohio,55+,330870,Not Applicable,Not Applicable
Ohio,55+,229099,Not Applicable,Not Applicable
Ohio,55+,87990,Not Applicable,Not Applicable
Ohio,55+,17395,Not Applicable,Not Applicable
Oklahoma,0-24,8064,1024449,787.15
Oklahoma,0-24,1638,4060670,40.34
Oklahoma,0-24,938,5065963,18.52
Oklahoma,0-24,1112,5118851,21.72
Oklahoma,0-24,3989,5264582,75.77
Oklahoma,0-24,5856,5457300,107.31
Oklahoma,25-34,6478,5015647,129.16
Oklahoma,25-34,7618,4833066,157.62
Oklahoma,35-44,10043,4777141,210.23
Oklahoma,35-44,14762,4873837,302.88
Oklahoma,45-54,22508,4951914,454.53
Oklahoma,45-54,32792,4872801,672.96
Oklahoma,55+,44098,4477699,984.84
Oklahoma,55+,53837,3818842,1409.77
Oklahoma,55+,62946,3149120,1998.84
Oklahoma,55+,75366,2509430,3003.31
Oklahoma,55+,90458,1947880,4643.92
Oklahoma,55+,101872,1373715,7415.8
Oklahoma,55+,97019,Not Applicable,Not Applicable
Oklahoma,55+,66326,Not Applicable,Not Applicable
Oklahoma,55+,25114,Not Applicable,Not Applicable
Oklahoma,55+,5068,Not Applicable,Not Applicable
Oklahoma,N/A,24,Not Applicable,Not Applicable
Oregon,0-24,4815,916254,525.51
Oregon,0-24,908,3691369,24.6
Oregon,0-24,578,4707763,12.28
Oregon,0-24,773,4866365,15.88
Oregon,0-24,2415,4988557,48.41
Oregon,0-24,3977,5079651,78.29
Oregon,25-34,4227,5150224,82.07
Oregon,25-34,4988,5182125,96.25
Oregon,35-44,6908,5136502,134.49
Oregon,35-44,10035,5181224,193.68
Oregon,45-54,16254,5293395,307.06
Oregon,45-54,24442,5265244,464.21
Oregon,55+,33246,4912646,676.74
Oregon,55+,42380,4221215,1003.98
Oregon,55+,50367,3381274,1489.59
Oregon,55+,60699,2577585,2354.88
Oregon,55+,76157,1977424,3851.32
Oregon,55+,93729,1465648,6395.06
Oregon,55+,100130,Not Applicable,Not Applicable
Oregon,55+,75251,Not Applicable,Not Applicable
Oregon,55+,30484,Not Applicable,Not Applicable
Oregon,55+,6000,Not Applicable,Not Applicable
Oregon,N/A,11,Not Applicable,Not Applicable
Pennsylvania,0-24,19936,2846803,700.29
Pennsylvania,0-24,2977,11564735,25.74
Pennsylvania,0-24,1917,15177919,12.63
Pennsylvania,0-24,2430,16249900,14.95
Pennsylvania,0-24,9472,17401188,54.43
Pennsylvania,0-24,17279,16582707,104.2
Pennsylvania,25-34,18288,15645490,116.89
Pennsylvania,25-34,20381,15465460,131.78
Pennsylvania,35-44,26462,16243813,162.91
Pennsylvania,35-44,39471,17514279,225.36
Pennsylvania,45-54,60980,18355535,332.22
Pennsylvania,45-54,89778,18114246,495.62
Pennsylvania,55+,119999,16485708,727.9
Pennsylvania,55+,150447,13857921,1085.64
Pennsylvania,55+,184615,11285972,1635.79
Pennsylvania,55+,239291,9321230,2567.16
Pennsylvania,55+,317948,7783843,4084.72
Pennsylvania,55+,401691,6012773,6680.63
Pennsylvania,55+,422121,Not Applicable,Not Applicable
Pennsylvania,55+,299549,Not Applicable,Not Applicable
Pennsylvania,55+,116082,Not Applicable,Not Applicable
Pennsylvania,55+,22798,Not Applicable,Not Applicable
Pennsylvania,N/A,329,Not Applicable,Not Applicable
Rhode Island,0-24,1454,231668,627.62
Rhode Island,0-24,168,945344,17.77
Rhode Island,0-24,134,1247193,10.74
Rhode Island,0-24,169,1325307,12.75
Rhode Island,0-24,557,1547345,36
Rhode Island,0-24,971,1576532,61.59
Rhode Island,25-34,1115,1368030,81.5
Rhode Island,25-34,1322,1338848,98.74
Rhode Island,35-44,1899,1408756,134.8
Rhode Island,35-44,2967,1497591,198.12
Rhode Island,45-54,4670,1549793,301.33
Rhode Island,45-54,6503,1508309,431.15
Rhode Island,55+,8912,1347074,661.58
Rhode Island,55+,10692,1103512,968.91
Rhode Island,55+,12862,870142,1478.15
Rhode Island,55+,16707,703491,2374.87
Rhode Island,55+,22673,592972,3823.62
Rhode Island,55+,29881,476803,6266.95
Rhode Island,55+,33840,Not Applicable,Not Applicable
Rhode Island,55+,25894,Not Applicable,Not Applicable
Rhode Island,55+,10843,Not Applicable,Not Applicable
Rhode Island,55+,2323,Not Applicable,Not Applicable
Rhode Island,N/A,21,Not Applicable,Not Applicable
South Carolina,0-24,9219,1151479,800.62
South Carolina,0-24,1521,4578085,33.22
South Carolina,0-24,936,5832442,16.05
South Carolina,0-24,1201,6014421,19.97
South Carolina,0-24,4463,6291807,70.93
South Carolina,0-24,7263,6419111,113.15
South Carolina,25-34,7865,6039047,130.24
South Carolina,25-34,9237,5838834,158.2
South Carolina,35-44,12171,5989127,203.22
South Carolina,35-44,18273,6182423,295.56
South Carolina,45-54,27572,6289862,438.36
South Carolina,45-54,40159,6181664,649.65
South Carolina,55+,52938,5736817,922.78
South Carolina,55+,64792,5039149,1285.77
South Carolina,55+,75902,4232594,1793.27
South Carolina,55+,87115,3229322,2697.63
South Carolina,55+,100950,2345408,4304.16
South Carolina,55+,110344,1572101,7018.89
South Carolina,55+,102396,Not Applicable,Not Applicable
South Carolina,55+,67625,Not Applicable,Not Applicable
South Carolina,55+,25442,Not Applicable,Not Applicable
South Carolina,55+,5258,Not Applicable,Not Applicable
South Carolina,N/A,69,Not Applicable,Not Applicable
South Dakota,0-24,1617,228773,706.81
South Dakota,0-24,326,905384,36.01
South Dakota,0-24,228,1116798,20.42
South Dakota,0-24,303,1129502,26.83
South Dakota,0-24,949,1186888,79.96
South Dakota,0-24,1136,1164997,97.51
South Dakota,25-34,1086,1028884,105.55
South Dakota,25-34,1244,997812,124.67
South Dakota,35-44,1575,994166,158.42
South Dakota,35-44,2200,1032540,213.07
South Dakota,45-54,3395,1081201,314
South Dakota,45-54,4729,1080530,437.66
South Dakota,55+,6418,989057,648.9
South Dakota,55+,8013,837070,957.27
South Dakota,55+,9847,674196,1460.55
South Dakota,55+,12346,539989,2286.34
South Dakota,55+,16170,445969,3625.81
South Dakota,55+,20941,350419,5975.99
South Dakota,55+,22864,Not Applicable,Not Applicable
South Dakota,55+,18508,Not Applicable,Not Applicable
South Dakota,55+,8598,Not Applicable,Not Applicable
South Dakota,55+,2165,Not Applicable,Not Applicable
Tennessee,0-24,12912,1582687,815.83
Tennessee,0-24,2104,6341370,33.18
Tennessee,0-24,1201,8084921,14.85
Tennessee,0-24,1626,8312025,19.56
Tennessee,0-24,6066,8342826,72.71
Tennessee,0-24,9658,8545729,113.02
Tennessee,25-34,10979,8428330,130.26
Tennessee,25-34,13265,8284674,160.11
Tennessee,35-44,18015,8515405,211.56
Tennessee,35-44,26575,8774865,302.85
Tennessee,45-54,39948,8868223,450.46
Tennessee,45-54,57067,8631852,661.12
Tennessee,55+,75047,7870909,953.47
Tennessee,55+,90840,6739049,1347.96
Tennessee,55+,107382,5519230,1945.6
Tennessee,55+,124803,4252140,2935.06
Tennessee,55+,145710,3186871,4572.2
Tennessee,55+,161842,2201002,7353.11
Tennessee,55+,154366,Not Applicable,Not Applicable
Tennessee,55+,102514,Not Applicable,Not Applicable
Tennessee,55+,38302,Not Applicable,Not Applicable
Tennessee,55+,7676,Not Applicable,Not Applicable
Tennessee,N/A,48,Not Applicable,Not Applicable
Texas,0-24,46408,7563573,613.57
Texas,0-24,9198,29821643,30.84
Texas,0-24,5149,36732245,14.02
Texas,0-24,6334,36986995,17.12
Texas,0-24,21168,36456548,58.06
Texas,0-24,33346,36224551,92.05
Texas,25-34,34955,36140031,96.72
Texas,25-34,39785,35541680,111.94
Texas,35-44,51557,35068895,147.02
Texas,35-44,75139,34675393,216.69
Texas,45-54,110973,33356949,332.68
Texas,45-54,157420,30890210,509.61
Texas,55+,205051,26820823,764.52
Texas,55+,245136,21678342,1130.79
Texas,55+,280649,17033728,1647.61
Texas,55+,331340,12996760,2549.4
Texas,55+,397001,9739185,4076.33
Texas,55+,449139,6770910,6633.36
Texas,55+,433681,Not Applicable,Not Applicable
Texas,55+,296971,Not Applicable,Not Applicable
Texas,55+,114891,Not Applicable,Not Applicable
Texas,55+,23934,Not Applicable,Not Applicable
Texas,N/A,319,Not Applicable,Not Applicable
Utah,0-24,5203,992968,523.98
Utah,0-24,1012,3863601,26.19
Utah,0-24,575,4643232,12.38
Utah,0-24,722,4453723,16.21
Utah,0-24,2365,4430239,53.38
Utah,0-24,3651,4788838,76.24
Utah,25-34,4047,4218849,95.93
Utah,25-34,4567,3921094,116.47
Utah,35-44,5187,3562466,145.6
Utah,35-44,6413,3243901,197.69
Utah,45-54,8691,3012891,288.46
Utah,45-54,11304,2779292,406.72
Utah,55+,14411,2452410,587.63
Utah,55+,17508,2010275,870.93
Utah,55+,20348,1581775,1286.4
Utah,55+,25653,1219193,2104.1
Utah,55+,33328,933079,3571.83
Utah,55+,42550,668905,6361.14
Utah,55+,44785,Not Applicable,Not Applicable
Utah,55+,31584,Not Applicable,Not Applicable
Utah,55+,11230,Not Applicable,Not Applicable
Utah,55+,1737,Not Applicable,Not Applicable
Utah,N/A,28,Not Applicable,Not Applicable
Vermont,0-24,625,123006,508.11
Vermont,0-24,96,515365,18.63
Vermont,0-24,74,705307,10.49
Vermont,0-24,117,789963,14.81
Vermont,0-24,430,921879,46.64
Vermont,0-24,664,868028,76.5
Vermont,25-34,686,685833,100.02
Vermont,25-34,743,730297,101.74
Vermont,35-44,1011,793781,127.37
Vermont,35-44,1563,882760,177.06
Vermont,45-54,2537,955503,265.51
Vermont,45-54,3773,969568,389.14
Vermont,55+,5086,893838,569.01
Vermont,55+,6594,743184,887.26
Vermont,55+,8162,580985,1404.86
Vermont,55+,10229,440963,2319.7
Vermont,55+,12918,334676,3859.85
Vermont,55+,15764,247074,6380.27
Vermont,55+,16789,Not Applicable,Not Applicable
Vermont,55+,12911,Not Applicable,Not Applicable
Vermont,55+,5566,Not Applicable,Not Applicable
Vermont,55+,1137,Not Applicable,Not Applicable
Virginia,0-24,13937,2004783,695.19
Virginia,0-24,1997,7968367,25.06
Virginia,0-24,1207,10010463,12.06
Virginia,0-24,1509,10300960,14.65
Virginia,0-24,5487,10620680,51.66
Virginia,0-24,9162,11136479,82.27
Virginia,25-34,9761,10854105,89.93
Virginia,25-34,11097,10925780,101.57
Virginia,35-44,15278,11228607,136.06
Virginia,35-44,22998,11513287,199.75
Virginia,45-54,34816,11579144,300.68
Virginia,45-54,51492,11103333,463.75
Virginia,55+,68165,9824460,693.83
Virginia,55+,83747,8037546,1041.95
Virginia,55+,100284,6332883,1583.54
Virginia,55+,120954,4838955,2499.59
Virginia,55+,146807,3644536,4028.14
Virginia,55+,171238,2559821,6689.45
Virginia,55+,168074,Not Applicable,Not Applicable
Virginia,55+,116312,Not Applicable,Not Applicable
Virginia,55+,45395,Not Applicable,Not Applicable
Virginia,55+,9361,Not Applicable,Not Applicable
Virginia,N/A,57,Not Applicable,Not Applicable
Washington,0-24,8414,1711434,491.63
Washington,0-24,1485,6809951,21.81
Washington,0-24,956,8603413,11.11
Washington,0-24,1204,8818523,13.65
Washington,0-24,4426,8906819,49.69
Washington,0-24,6996,9142801,76.52
Washington,25-34,7388,9381030,78.75
Washington,25-34,8618,9328964,92.38
Washington,35-44,11197,9344239,119.83
Washington,35-44,16768,9452207,177.4
Washington,45-54,26094,9532818,273.73
Washington,45-54,38802,9232219,420.29
Washington,55+,51850,8337565,621.88
Washington,55+,64685,6880267,940.15
Washington,55+,75953,5345266,1420.94
Washington,55+,91187,3988591,2286.2
Washington,55+,112821,3019672,3736.2
Washington,55+,138813,2218107,6258.17
Washington,55+,146859,Not Applicable,Not Applicable
Washington,55+,110378,Not Applicable,Not Applicable
Washington,55+,45255,Not Applicable,Not Applicable
Washington,55+,9390,Not Applicable,Not Applicable
Washington,N/A,21,Not Applicable,Not Applicable
West Virginia,0-24,3059,409576,746.87
West Virginia,0-24,545,1637318,33.29
West Virginia,0-24,368,2104813,17.48
West Virginia,0-24,464,2210912,20.99
West Virginia,0-24,1676,2350279,71.31
West Virginia,0-24,2890,2409539,119.94
West Virginia,25-34,3322,2196517,151.24
West Virginia,25-34,4318,2226414,193.94
West Virginia,35-44,5782,2345036,246.56
West Virginia,35-44,8396,2504075,335.29
West Virginia,45-54,12267,2642866,464.16
West Virginia,45-54,17969,2699905,665.54
West Virginia,55+,24415,2549563,957.62
West Virginia,55+,30925,2247567,1375.93
West Virginia,55+,37873,1871333,2023.85
West Virginia,55+,45959,1491427,3081.55
West Virginia,55+,56126,1166777,4810.35
West Virginia,55+,62651,823544,7607.49
West Virginia,55+,59080,Not Applicable,Not Applicable
West Virginia,55+,38131,Not Applicable,Not Applicable
West Virginia,55+,14021,Not Applicable,Not Applicable
West Virginia,55+,2807,Not Applicable,Not Applicable
Wisconsin,0-24,8716,1369598,636.39
Wisconsin,0-24,1410,5560951,25.36
Wisconsin,0-24,892,7281785,12.25
Wisconsin,0-24,1196,7684208,15.56
Wisconsin,0-24,4305,8011664,53.73
Wisconsin,0-24,6439,7790097,82.66
Wisconsin,25-34,6541,6996318,93.49
Wisconsin,25-34,7227,7195630,100.44
Wisconsin,35-44,9684,7460512,129.8
Wisconsin,35-44,14315,7892727,181.37
Wisconsin,45-54,22611,8198846,275.78
Wisconsin,45-54,33079,8026523,412.12
Wisconsin,55+,44856,7160537,626.43
Wisconsin,55+,55843,5882461,949.31
Wisconsin,55+,68069,4658015,1461.33
Wisconsin,55+,86603,3685096,2350.09
Wisconsin,55+,112193,2969150,3778.62
Wisconsin,55+,143006,2266019,6310.89
Wisconsin,55+,156597,Not Applicable,Not Applicable
Wisconsin,55+,119207,Not Applicable,Not Applicable
Wisconsin,55+,50394,Not Applicable,Not Applicable
Wisconsin,55+,10811,Not Applicable,Not Applicable
Wyoming,0-24,893,144105,619.69
Wyoming,0-24,192,572634,33.53
Wyoming,0-24,133,721553,18.43
Wyoming,0-24,144,737092,19.54
Wyoming,0-24,620,774692,80.03
Wyoming,0-24,926,792076,116.91
Wyoming,25-34,945,725866,130.19
Wyoming,25-34,1023,699680,146.21
Wyoming,35-44,1280,689463,185.65
Wyoming,35-44,1759,719575,244.45
Wyoming,45-54,2655,769429,345.06
Wyoming,45-54,3822,783535,487.79
Wyoming,55+,4795,726170,660.31
Wyoming,55+,6058,601410,1007.3
Wyoming,55+,7178,461019,1556.99
Wyoming,55+,8496,345586,2458.43
Wyoming,55+,10255,257954,3975.52
Wyoming,55+,11947,182713,6538.67
Wyoming,55+,11742,Not Applicable,Not Applicable
Wyoming,55+,8402,Not Applicable,Not Applicable
Wyoming,55+,3325,Not Applicable,Not Applicable
Wyoming,55+,712,Not Applicable,Not Applicable
